id_venda,data,ano,mês,dia,id_cliente,customer_segment,regiao,estado,produto_categoria,produto_nome,canal_venda,quantidade,preco_unitario,pct_desconto,gross_revenue,discount_value,net_revenue,cost,profit,margin_pct,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
2093,2021-07-28 00:00:00,2021,Julho,28,1927,Pequenas Empresas,Nordeste,PE,Móveis,Mesa Gamer,Loja Física,6,"R$ 623,10",10%,"R$ 3.738,62","R$ 358,00","R$ 3.380,62","R$ 2.300,09","R$ 1.080,53","31,96",,,,,,,
2094,2021-07-10 00:00:00,2021,Julho,10,2076,Consumidor Final,Nordeste,CE,Eletrônicos,Monitor Ultrawide,E-commerce,2,"R$ 681,25",5%,"R$ 1.362,50","R$ 64,59","R$ 1.297,91","R$ 820,10","R$ 477,81","36,81",,,,,,,
2095,2021-06-26 00:00:00,2021,Junho,26,2936,Corporativo,Sudeste,MG,Móveis,Mesa Gamer,E-commerce,10,"R$ 661,64",11%,"R$ 6.616,35","R$ 760,07","R$ 5.856,28","R$ 3.580,56","R$ 2.275,72","38,86",,,,,,,
2096,2021-12-30 00:00:00,2021,Dezembro,30,1810,Corporativo,Sul,SC,Móveis,Mesa Gamer,Loja Física,10,"R$ 610,69",13%,"R$ 6.106,90","R$ 794,31","R$ 5.312,59","R$ 3.728,64","R$ 1.583,95","29,82",,,,,,,
2097,2021-01-28 00:00:00,2021,Janeiro,28,3758,Pequenas Empresas,Nordeste,BA,Eletrônicos,Teclado Mecânico,E-commerce,5,"R$ 653,12",7%,"R$ 3.265,58","R$ 233,86","R$ 3.031,72","R$ 1.805,73","R$ 1.225,99","40,44",,,,,,,
2098,2021-12-15 00:00:00,2021,Dezembro,15,2578,Consumidor Final,Sul,RS,Eletrônicos,Cadeira Gamer,E-commerce,1,"R$ 703,56",5%,"R$ 703,56","R$ 37,47","R$ 666,09","R$ 441,97","R$ 224,13","33,65",,,,,,,
2099,2021-03-17 00:00:00,2021,Março,17,2524,Consumidor Final,Sudeste,RJ,Eletrônicos,Monitor Ultrawide,E-commerce,2,"R$ 587,59",3%,"R$ 1.175,19","R$ 30,93","R$ 1.144,26","R$ 690,43","R$ 453,83","39,66",,,,,,,
2100,2021-07-31 00:00:00,2021,Julho,31,2034,Consumidor Final,Sul,RS,Eletrônicos,Microfone Condensador,E-commerce,1,"R$ 766,54",3%,"R$ 766,54","R$ 25,60","R$ 740,94","R$ 454,18","R$ 286,76","38,70",,,,,,,
2101,2021-03-11 00:00:00,2021,Março,11,2047,Consumidor Final,Nordeste,CE,Móveis,Mesa Gamer,Loja Física,1,"R$ 635,51",3%,"R$ 635,51","R$ 18,03","R$ 617,48","R$ 413,76","R$ 203,72","32,99",,,,,,,
2102,2021-04-27 00:00:00,2021,Abril,27,3371,Pequenas Empresas,Nordeste,PE,Eletrônicos,Monitor Ultrawide,E-commerce,5,"R$ 655,75",11%,"R$ 3.278,74","R$ 362,61","R$ 2.916,13","R$ 1.742,04","R$ 1.174,09","40,26",,,,,,,
2103,2021-10-10 00:00:00,2021,Outubro,10,2497,Consumidor Final,Sul,PR,Eletrônicos,Microfone Condensador,E-commerce,4,"R$ 678,45",2%,"R$ 2.713,80","R$ 47,36","R$ 2.666,45","R$ 1.693,04","R$ 973,40","36,51",,,,,,,
2104,2021-03-28 00:00:00,2021,Março,28,1350,Consumidor Final,Sudeste,SP,Eletrônicos,Microfone Condensador,E-commerce,7,"R$ 817,32",6%,"R$ 5.721,26","R$ 316,28","R$ 5.404,99","R$ 3.276,45","R$ 2.128,53","39,38",,,,,,,
2105,2021-12-03 00:00:00,2021,Dezembro,3,2644,Corporativo,Centro-Oeste,GO,Eletrônicos,Headset Gamer,E-commerce,14,"R$ 577,05",13%,"R$ 8.078,73","R$ 1.014,17","R$ 7.064,55","R$ 3.956,24","R$ 3.108,31","44,00",,,,,,,
2106,2021-08-14 00:00:00,2021,Agosto,14,4286,Pequenas Empresas,Sul,PR,Móveis,Mesa Gamer,Loja Física,4,"R$ 664,75",7%,"R$ 2.659,00","R$ 179,38","R$ 2.479,62","R$ 1.620,91","R$ 858,71","34,63",,,,,,,
2107,2021-01-28 00:00:00,2021,Janeiro,28,4409,Corporativo,Sudeste,MG,Eletrônicos,Cadeira Gamer,Loja Física,12,"R$ 749,75",8%,"R$ 8.996,94","R$ 723,57","R$ 8.273,37","R$ 5.581,96","R$ 2.691,41","32,53",,,,,,,
2108,2021-12-23 00:00:00,2021,Dezembro,23,3308,Corporativo,Sudeste,MG,Eletrônicos,Cadeira Gamer,E-commerce,16,"R$ 763,54",13%,"R$ 12.216,57","R$ 1.602,94","R$ 10.613,62","R$ 6.878,14","R$ 3.735,49","35,20",,,,,,,
2109,2021-10-20 00:00:00,2021,Outubro,20,4232,Corporativo,Sul,RS,Eletrônicos,Microfone Condensador,Loja Física,12,"R$ 664,40",7%,"R$ 7.972,83","R$ 597,73","R$ 7.375,10","R$ 4.655,06","R$ 2.720,04","36,88",,,,,,,
2110,2021-06-18 00:00:00,2021,Junho,18,1273,Consumidor Final,Sudeste,MG,Eletrônicos,Mouse Gamer,E-commerce,2,"R$ 662,79",4%,"R$ 1.325,58","R$ 54,50","R$ 1.271,08","R$ 696,04","R$ 575,04","45,24",,,,,,,
2111,2021-05-06 00:00:00,2021,Maio,6,4103,Corporativo,Nordeste,CE,Móveis,Mesa Gamer,Loja Física,7,"R$ 580,52",13%,"R$ 4.063,67","R$ 525,96","R$ 3.537,71","R$ 2.238,92","R$ 1.298,79","36,71",,,,,,,
2112,2021-04-14 00:00:00,2021,Abril,14,1407,Consumidor Final,Sul,RS,Eletrônicos,Cadeira Gamer,E-commerce,2,"R$ 618,78",4%,"R$ 1.237,56","R$ 49,58","R$ 1.187,98","R$ 820,92","R$ 367,06","30,90",,,,,,,
2113,2021-01-02 00:00:00,2021,Janeiro,2,4701,Corporativo,Sudeste,SP,Eletrônicos,Microfone Condensador,Loja Física,7,"R$ 795,88",11%,"R$ 5.571,17","R$ 593,44","R$ 4.977,73","R$ 2.940,44","R$ 2.037,29","40,93",,,,,,,
2114,2021-11-21 00:00:00,2021,Novembro,21,4672,Pequenas Empresas,Sudeste,SP,Móveis,Mesa Gamer,E-commerce,5,"R$ 642,29",9%,"R$ 3.211,47","R$ 274,50","R$ 2.936,97","R$ 1.989,47","R$ 947,50","32,26",,,,,,,
2115,2021-09-01 00:00:00,2021,Setembro,1,1128,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Webcam 4K,Loja Física,6,"R$ 803,78",8%,"R$ 4.822,67","R$ 374,23","R$ 4.448,44","R$ 2.786,49","R$ 1.661,95","37,36",,,,,,,
2116,2021-04-16 00:00:00,2021,Abril,16,4239,Pequenas Empresas,Nordeste,PE,Eletrônicos,Mouse Gamer,Loja Física,7,"R$ 785,33",9%,"R$ 5.497,29","R$ 502,98","R$ 4.994,32","R$ 2.975,44","R$ 2.018,88","40,42",,,,,,,
2117,2021-12-15 00:00:00,2021,Dezembro,15,4837,Corporativo,Sudeste,SP,Móveis,Mesa Gamer,Loja Física,11,"R$ 648,62",12%,"R$ 7.134,80","R$ 891,16","R$ 6.243,64","R$ 3.984,88","R$ 2.258,76","36,18",,,,,,,
2118,2021-04-06 00:00:00,2021,Abril,6,4266,Corporativo,Sudeste,SP,Eletrônicos,Headset Gamer,E-commerce,12,"R$ 573,44",8%,"R$ 6.881,29","R$ 546,44","R$ 6.334,85","R$ 3.712,32","R$ 2.622,53","41,40",,,,,,,
2119,2021-06-30 00:00:00,2021,Junho,30,2027,Corporativo,Sudeste,SP,Móveis,Mesa Gamer,Loja Física,4,"R$ 694,94",9%,"R$ 2.779,74","R$ 261,31","R$ 2.518,44","R$ 1.417,75","R$ 1.100,69","43,71",,,,,,,
2120,2021-08-27 00:00:00,2021,Agosto,27,1745,Corporativo,Sul,SC,Eletrônicos,Mouse Gamer,Loja Física,11,"R$ 634,51",10%,"R$ 6.979,66","R$ 683,10","R$ 6.296,56","R$ 3.477,89","R$ 2.818,67","44,77",,,,,,,
2121,2021-11-14 00:00:00,2021,Novembro,14,4025,Corporativo,Centro-Oeste,GO,Móveis,Mesa Gamer,E-commerce,9,"R$ 592,40",14%,"R$ 5.331,56","R$ 739,10","R$ 4.592,46","R$ 3.272,68","R$ 1.319,78","28,74",,,,,,,
2122,2021-12-23 00:00:00,2021,Dezembro,23,1244,Corporativo,Centro-Oeste,GO,Eletrônicos,Cadeira Gamer,Loja Física,8,"R$ 705,04",12%,"R$ 5.640,35","R$ 672,66","R$ 4.967,69","R$ 3.286,22","R$ 1.681,47","33,85",,,,,,,
2123,2021-05-11 00:00:00,2021,Maio,11,3146,Consumidor Final,Sul,PR,Eletrônicos,Teclado Mecânico,E-commerce,1,"R$ 682,93",5%,"R$ 682,93","R$ 36,37","R$ 646,56","R$ 416,94","R$ 229,62","35,51",,,,,,,
2124,2021-10-02 00:00:00,2021,Outubro,2,1466,Consumidor Final,Sudeste,RJ,Eletrônicos,Headset Gamer,E-commerce,5,"R$ 610,12",4%,"R$ 3.050,61","R$ 117,75","R$ 2.932,86","R$ 1.504,39","R$ 1.428,47","48,71",,,,,,,
2125,2021-07-10 00:00:00,2021,Julho,10,3998,Consumidor Final,Sudeste,RJ,Eletrônicos,Mouse Gamer,Loja Física,7,"R$ 761,39",5%,"R$ 5.329,74","R$ 277,00","R$ 5.052,74","R$ 2.629,91","R$ 2.422,83","47,95",,,,,,,
2126,2021-12-20 00:00:00,2021,Dezembro,20,2362,Corporativo,Sul,PR,Eletrônicos,Microfone Condensador,E-commerce,11,"R$ 717,09",9%,"R$ 7.887,99","R$ 729,60","R$ 7.158,38","R$ 4.277,75","R$ 2.880,64","40,24",,,,,,,
2127,2021-04-16 00:00:00,2021,Abril,16,4709,Corporativo,Centro-Oeste,GO,Eletrônicos,Headset Gamer,E-commerce,12,"R$ 597,87",12%,"R$ 7.174,43","R$ 850,32","R$ 6.324,10","R$ 3.504,99","R$ 2.819,11","44,58",,,,,,,
2128,2021-11-15 00:00:00,2021,Novembro,15,3727,Consumidor Final,Sul,SC,Eletrônicos,Teclado Mecânico,Loja Física,1,"R$ 711,51",7%,"R$ 711,51","R$ 50,82","R$ 660,70","R$ 359,05","R$ 301,65","45,66",,,,,,,
2129,2021-01-10 00:00:00,2021,Janeiro,10,3489,Corporativo,Centro-Oeste,GO,Eletrônicos,Mouse Gamer,E-commerce,13,"R$ 762,55",10%,"R$ 9.913,11","R$ 977,03","R$ 8.936,07","R$ 4.535,10","R$ 4.400,98","49,25",,,,,,,
2130,2021-03-14 00:00:00,2021,Março,14,4005,Pequenas Empresas,Sudeste,RJ,Eletrônicos,Mouse Gamer,Loja Física,10,"R$ 746,57",9%,"R$ 7.465,70","R$ 636,23","R$ 6.829,47","R$ 3.250,39","R$ 3.579,09","52,41",,,,,,,
2131,2021-08-10 00:00:00,2021,Agosto,10,3516,Consumidor Final,Nordeste,BA,Eletrônicos,Monitor Ultrawide,Loja Física,1,"R$ 683,51",2%,"R$ 683,51","R$ 14,26","R$ 669,24","R$ 401,30","R$ 267,94","40,04",,,,,,,
2132,2021-09-11 00:00:00,2021,Setembro,11,4854,Consumidor Final,Nordeste,PE,Eletrônicos,Headset Gamer,Loja Física,1,"R$ 511,08",3%,"R$ 511,08","R$ 14,98","R$ 496,10","R$ 276,37","R$ 219,73","44,29",,,,,,,
2133,2021-01-05 00:00:00,2021,Janeiro,5,4208,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Headset Gamer,Loja Física,6,"R$ 521,02",4%,"R$ 3.126,12","R$ 124,63","R$ 3.001,49","R$ 1.665,94","R$ 1.335,55","44,50",,,,,,,
2134,2021-03-23 00:00:00,2021,Março,23,4885,Consumidor Final,Centro-Oeste,GO,Eletrônicos,Monitor Ultrawide,Loja Física,2,"R$ 701,38",7%,"R$ 1.402,75","R$ 97,18","R$ 1.305,57","R$ 807,77","R$ 497,81","38,13",,,,,,,
2135,2021-08-16 00:00:00,2021,Agosto,16,2732,Corporativo,Sul,RS,Móveis,Mesa Gamer,Loja Física,7,"R$ 592,62",9%,"R$ 4.148,34","R$ 362,91","R$ 3.785,42","R$ 2.542,34","R$ 1.243,08","32,84",,,,,,,
2136,2021-12-01 00:00:00,2021,Dezembro,1,1900,Pequenas Empresas,Sudeste,RJ,Eletrônicos,Headset Gamer,Loja Física,17,"R$ 501,77",10%,"R$ 8.530,10","R$ 814,54","R$ 7.715,55","R$ 4.251,61","R$ 3.463,94","44,90",,,,,,,
2137,2021-01-14 00:00:00,2021,Janeiro,14,2901,Corporativo,Sul,RS,Eletrônicos,Webcam 4K,E-commerce,6,"R$ 820,65",11%,"R$ 4.923,90","R$ 548,21","R$ 4.375,69","R$ 2.673,84","R$ 1.701,86","38,89",,,,,,,
2138,2021-03-14 00:00:00,2021,Março,14,4508,Pequenas Empresas,Sudeste,SP,Eletrônicos,Teclado Mecânico,E-commerce,13,"R$ 669,88",8%,"R$ 8.708,38","R$ 656,44","R$ 8.051,95","R$ 4.690,21","R$ 3.361,74","41,75",,,,,,,
2139,2021-04-18 00:00:00,2021,Abril,18,3606,Consumidor Final,Sul,PR,Eletrônicos,Cadeira Gamer,E-commerce,2,"R$ 645,75",4%,"R$ 1.291,51","R$ 48,96","R$ 1.242,55","R$ 822,80","R$ 419,75","33,78",,,,,,,
2140,2021-08-03 00:00:00,2021,Agosto,3,4504,Pequenas Empresas,Nordeste,CE,Eletrônicos,Headset Gamer,Loja Física,4,"R$ 630,01",7%,"R$ 2.520,05","R$ 186,74","R$ 2.333,31","R$ 1.185,63","R$ 1.147,68","49,19",,,,,,,
2141,2021-12-07 00:00:00,2021,Dezembro,7,4350,Pequenas Empresas,Sudeste,MG,Eletrônicos,Microfone Condensador,Loja Física,6,"R$ 766,02",7%,"R$ 4.596,12","R$ 322,83","R$ 4.273,29","R$ 2.447,90","R$ 1.825,39","42,72",,,,,,,
2142,2021-09-23 00:00:00,2021,Setembro,23,4012,Pequenas Empresas,Sul,PR,Eletrônicos,Headset Gamer,E-commerce,9,"R$ 568,57",7%,"R$ 5.117,16","R$ 366,19","R$ 4.750,97","R$ 2.613,72","R$ 2.137,25","44,99",,,,,,,
2143,2021-04-21 00:00:00,2021,Abril,21,2297,Pequenas Empresas,Sul,SC,Móveis,Mesa Gamer,Loja Física,5,"R$ 559,97",8%,"R$ 2.799,85","R$ 234,61","R$ 2.565,24","R$ 1.751,36","R$ 813,88","31,73",,,,,,,
2144,2021-12-24 00:00:00,2021,Dezembro,24,3582,Corporativo,Sul,PR,Eletrônicos,Monitor Ultrawide,E-commerce,9,"R$ 678,45",15%,"R$ 6.106,03","R$ 919,06","R$ 5.186,97","R$ 3.361,34","R$ 1.825,63","35,20",,,,,,,
2145,2021-11-28 00:00:00,2021,Novembro,28,3356,Corporativo,Sul,PR,Eletrônicos,Monitor Ultrawide,Loja Física,8,"R$ 598,71",9%,"R$ 4.789,65","R$ 451,72","R$ 4.337,94","R$ 2.932,80","R$ 1.405,14","32,39",,,,,,,
2146,2021-01-01 00:00:00,2021,Janeiro,1,1456,Pequenas Empresas,Nordeste,CE,Móveis,Mesa Gamer,E-commerce,6,"R$ 628,23",9%,"R$ 3.769,36","R$ 329,71","R$ 3.439,65","R$ 2.360,43","R$ 1.079,21","31,38",,,,,,,
2147,2021-05-12 00:00:00,2021,Maio,12,4451,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Webcam 4K,E-commerce,9,"R$ 781,46",6%,"R$ 7.033,13","R$ 432,07","R$ 6.601,06","R$ 4.044,85","R$ 2.556,21","38,72",,,,,,,
2148,2021-09-21 00:00:00,2021,Setembro,21,1251,Pequenas Empresas,Nordeste,CE,Eletrônicos,Mouse Gamer,Loja Física,8,"R$ 702,73",9%,"R$ 5.621,86","R$ 482,58","R$ 5.139,28","R$ 3.092,03","R$ 2.047,25","39,84",,,,,,,
2149,2021-11-06 00:00:00,2021,Novembro,6,4336,Pequenas Empresas,Nordeste,BA,Eletrônicos,Monitor Ultrawide,E-commerce,7,"R$ 707,44",10%,"R$ 4.952,10","R$ 501,74","R$ 4.450,36","R$ 2.826,08","R$ 1.624,28","36,50",,,,,,,
2150,2021-12-03 00:00:00,2021,Dezembro,3,4939,Pequenas Empresas,Nordeste,CE,Móveis,Mesa Gamer,Loja Física,4,"R$ 548,49",8%,"R$ 2.193,97","R$ 181,19","R$ 2.012,77","R$ 1.345,01","R$ 667,76","33,18",,,,,,,
2151,2021-06-04 00:00:00,2021,Junho,4,4059,Corporativo,Sudeste,SP,Móveis,Mesa Gamer,Loja Física,9,"R$ 610,88",11%,"R$ 5.497,95","R$ 614,10","R$ 4.883,85","R$ 2.877,50","R$ 2.006,35","41,08",,,,,,,
2152,2021-11-18 00:00:00,2021,Novembro,18,2602,Pequenas Empresas,Sudeste,RJ,Eletrônicos,Webcam 4K,E-commerce,4,"R$ 758,41",9%,"R$ 3.033,65","R$ 259,39","R$ 2.774,26","R$ 1.569,81","R$ 1.204,45","43,42",,,,,,,
2153,2021-01-12 00:00:00,2021,Janeiro,12,1281,Pequenas Empresas,Nordeste,PE,Móveis,Mesa Gamer,E-commerce,2,"R$ 635,45",9%,"R$ 1.270,89","R$ 118,59","R$ 1.152,31","R$ 748,49","R$ 403,82","35,04",,,,,,,
2154,2021-12-01 00:00:00,2021,Dezembro,1,1334,Corporativo,Nordeste,PE,Eletrônicos,Monitor Ultrawide,Loja Física,15,"R$ 591,02",13%,"R$ 8.865,29","R$ 1.195,06","R$ 7.670,24","R$ 4.507,38","R$ 3.162,85","41,24",,,,,,,
2155,2021-03-10 00:00:00,2021,Março,10,1844,Corporativo,Sudeste,SP,Móveis,Mesa Gamer,E-commerce,9,"R$ 616,46",8%,"R$ 5.548,13","R$ 439,50","R$ 5.108,63","R$ 3.509,64","R$ 1.598,99","31,30",,,,,,,
2156,2021-04-10 00:00:00,2021,Abril,10,1247,Consumidor Final,Sudeste,RJ,Eletrônicos,Microfone Condensador,E-commerce,2,"R$ 779,88",4%,"R$ 1.559,76","R$ 61,80","R$ 1.497,96","R$ 894,07","R$ 603,89","40,31",,,,,,,
2157,2021-07-20 00:00:00,2021,Julho,20,3535,Corporativo,Centro-Oeste,GO,Eletrônicos,Microfone Condensador,Loja Física,4,"R$ 696,72",10%,"R$ 2.786,88","R$ 289,07","R$ 2.497,81","R$ 1.678,19","R$ 819,62","32,81",,,,,,,
2158,2021-09-16 00:00:00,2021,Setembro,16,2391,Corporativo,Centro-Oeste,GO,Eletrônicos,Monitor Ultrawide,Loja Física,6,"R$ 600,92",14%,"R$ 3.605,53","R$ 493,02","R$ 3.112,51","R$ 1.916,45","R$ 1.196,06","38,43",,,,,,,
2159,2021-05-16 00:00:00,2021,Maio,16,3041,Consumidor Final,Centro-Oeste,GO,Eletrônicos,Monitor Ultrawide,E-commerce,4,"R$ 691,50",3%,"R$ 2.766,00","R$ 78,07","R$ 2.687,92","R$ 1.677,40","R$ 1.010,52","37,59",,,,,,,
2160,2021-10-15 00:00:00,2021,Outubro,15,4836,Consumidor Final,Sudeste,RJ,Eletrônicos,Mouse Gamer,E-commerce,9,"R$ 729,27",5%,"R$ 6.563,40","R$ 341,43","R$ 6.221,97","R$ 3.199,99","R$ 3.021,98","48,57",,,,,,,
2161,2021-06-12 00:00:00,2021,Junho,12,1092,Corporativo,Sudeste,MG,Eletrônicos,Microfone Condensador,E-commerce,11,"R$ 672,82",9%,"R$ 7.401,02","R$ 698,60","R$ 6.702,42","R$ 3.971,53","R$ 2.730,89","40,74",,,,,,,
2162,2021-12-11 00:00:00,2021,Dezembro,11,2995,Consumidor Final,Nordeste,CE,Eletrônicos,Teclado Mecânico,E-commerce,7,"R$ 718,24",8%,"R$ 5.027,67","R$ 424,07","R$ 4.603,59","R$ 2.687,00","R$ 1.916,60","41,63",,,,,,,
2163,2021-08-17 00:00:00,2021,Agosto,17,4864,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Microfone Condensador,Loja Física,5,"R$ 782,95",6%,"R$ 3.914,74","R$ 215,35","R$ 3.699,39","R$ 1.951,30","R$ 1.748,09","47,25",,,,,,,
2164,2021-07-15 00:00:00,2021,Julho,15,1402,Consumidor Final,Nordeste,CE,Móveis,Mesa Gamer,E-commerce,2,"R$ 685,01",5%,"R$ 1.370,02","R$ 70,07","R$ 1.299,95","R$ 892,93","R$ 407,02","31,31",,,,,,,
2165,2021-10-05 00:00:00,2021,Outubro,5,3240,Corporativo,Sudeste,MG,Eletrônicos,Mouse Gamer,Loja Física,4,"R$ 627,14",8%,"R$ 2.508,57","R$ 201,76","R$ 2.306,81","R$ 1.281,25","R$ 1.025,55","44,46",,,,,,,
2166,2021-11-27 00:00:00,2021,Novembro,27,2887,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Monitor Ultrawide,Loja Física,8,"R$ 726,39",7%,"R$ 5.811,09","R$ 381,35","R$ 5.429,74","R$ 3.437,35","R$ 1.992,39","36,69",,,,,,,
2167,2021-05-02 00:00:00,2021,Maio,2,1172,Pequenas Empresas,Sul,SC,Eletrônicos,Monitor Ultrawide,E-commerce,5,"R$ 719,83",10%,"R$ 3.599,17","R$ 353,27","R$ 3.245,90","R$ 2.070,32","R$ 1.175,58","36,22",,,,,,,
2168,2021-04-17 00:00:00,2021,Abril,17,1981,Corporativo,Sudeste,MG,Eletrônicos,Webcam 4K,E-commerce,10,"R$ 698,28",10%,"R$ 6.982,77","R$ 722,63","R$ 6.260,14","R$ 3.613,52","R$ 2.646,62","42,28",,,,,,,
2169,2021-09-29 00:00:00,2021,Setembro,29,2485,Pequenas Empresas,Sudeste,RJ,Eletrônicos,Teclado Mecânico,Loja Física,7,"R$ 713,15",4%,"R$ 4.992,02","R$ 183,70","R$ 4.808,32","R$ 2.804,40","R$ 2.003,93","41,68",,,,,,,
2170,2021-09-29 00:00:00,2021,Setembro,29,2063,Consumidor Final,Sul,RS,Eletrônicos,Microfone Condensador,Loja Física,2,"R$ 832,59",6%,"R$ 1.665,19","R$ 94,59","R$ 1.570,60","R$ 987,66","R$ 582,94","37,12",,,,,,,
2171,2021-02-19 00:00:00,2021,Fevereiro,19,2783,Pequenas Empresas,Sudeste,SP,Eletrônicos,Cadeira Gamer,E-commerce,3,"R$ 660,10",8%,"R$ 1.980,30","R$ 150,38","R$ 1.829,93","R$ 1.225,16","R$ 604,77","33,05",,,,,,,
2172,2021-09-28 00:00:00,2021,Setembro,28,2723,Corporativo,Nordeste,PE,Eletrônicos,Microfone Condensador,Loja Física,13,"R$ 806,81",7%,"R$ 10.488,56","R$ 770,08","R$ 9.718,48","R$ 5.725,80","R$ 3.992,67","41,08",,,,,,,
2173,2021-11-04 00:00:00,2021,Novembro,4,4475,Pequenas Empresas,Nordeste,PE,Eletrônicos,Monitor Ultrawide,E-commerce,8,"R$ 627,78",11%,"R$ 5.022,22","R$ 555,61","R$ 4.466,61","R$ 3.014,96","R$ 1.451,65","32,50",,,,,,,
2174,2021-05-19 00:00:00,2021,Maio,19,2804,Pequenas Empresas,Nordeste,CE,Eletrônicos,Cadeira Gamer,E-commerce,6,"R$ 742,24",10%,"R$ 4.453,45","R$ 465,32","R$ 3.988,12","R$ 2.420,65","R$ 1.567,48","39,30",,,,,,,
2175,2021-01-28 00:00:00,2021,Janeiro,28,2427,Pequenas Empresas,Sudeste,MG,Móveis,Mesa Gamer,E-commerce,3,"R$ 555,84",8%,"R$ 1.667,51","R$ 129,23","R$ 1.538,28","R$ 1.015,96","R$ 522,33","33,96",,,,,,,
2176,2021-05-26 00:00:00,2021,Maio,26,4070,Corporativo,Sudeste,MG,Eletrônicos,Microfone Condensador,Loja Física,10,"R$ 723,61",9%,"R$ 7.236,10","R$ 659,87","R$ 6.576,23","R$ 3.981,76","R$ 2.594,48","39,45",,,,,,,
2177,2021-02-17 00:00:00,2021,Fevereiro,17,4145,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Webcam 4K,E-commerce,6,"R$ 712,92",9%,"R$ 4.277,51","R$ 371,60","R$ 3.905,91","R$ 2.372,17","R$ 1.533,74","39,27",,,,,,,
2178,2021-05-13 00:00:00,2021,Maio,13,1233,Corporativo,Nordeste,CE,Eletrônicos,Microfone Condensador,Loja Física,7,"R$ 720,44",11%,"R$ 5.043,09","R$ 574,75","R$ 4.468,35","R$ 2.773,99","R$ 1.694,35","37,92",,,,,,,
2179,2021-10-30 00:00:00,2021,Outubro,30,3745,Corporativo,Sul,SC,Eletrônicos,Monitor Ultrawide,E-commerce,13,"R$ 596,01",13%,"R$ 7.748,07","R$ 972,27","R$ 6.775,80","R$ 4.012,36","R$ 2.763,44","40,78",,,,,,,
2180,2021-07-06 00:00:00,2021,Julho,6,1340,Consumidor Final,Nordeste,CE,Eletrônicos,Microfone Condensador,E-commerce,3,"R$ 703,25",2%,"R$ 2.109,75","R$ 47,79","R$ 2.061,97","R$ 1.188,45","R$ 873,52","42,36",,,,,,,
2181,2021-01-20 00:00:00,2021,Janeiro,20,3508,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Headset Gamer,E-commerce,7,"R$ 576,51",7%,"R$ 4.035,56","R$ 270,65","R$ 3.764,92","R$ 1.915,39","R$ 1.849,53","49,13",,,,,,,
2182,2021-04-19 00:00:00,2021,Abril,19,1284,Corporativo,Sudeste,RJ,Eletrônicos,Headset Gamer,E-commerce,17,"R$ 560,08",9%,"R$ 9.521,32","R$ 865,73","R$ 8.655,60","R$ 4.182,31","R$ 4.473,29","51,68",,,,,,,
2183,2021-10-20 00:00:00,2021,Outubro,20,3034,Pequenas Empresas,Sudeste,SP,Eletrônicos,Mouse Gamer,Loja Física,13,"R$ 648,12",8%,"R$ 8.425,59","R$ 679,11","R$ 7.746,47","R$ 4.404,79","R$ 3.341,68","43,14",,,,,,,
2184,2021-09-15 00:00:00,2021,Setembro,15,1946,Consumidor Final,Nordeste,PE,Eletrônicos,Monitor Ultrawide,E-commerce,4,"R$ 646,91",4%,"R$ 2.587,63","R$ 101,83","R$ 2.485,80","R$ 1.483,36","R$ 1.002,44","40,33",,,,,,,
2185,2021-01-03 00:00:00,2021,Janeiro,3,1765,Corporativo,Nordeste,PE,Eletrônicos,Teclado Mecânico,E-commerce,9,"R$ 760,83",10%,"R$ 6.847,47","R$ 706,09","R$ 6.141,38","R$ 3.391,82","R$ 2.749,56","44,77",,,,,,,
2186,2021-04-06 00:00:00,2021,Abril,6,4465,Corporativo,Sul,SC,Eletrônicos,Mouse Gamer,Loja Física,16,"R$ 763,42",12%,"R$ 12.214,68","R$ 1.511,61","R$ 10.703,07","R$ 5.676,81","R$ 5.026,26","46,96",,,,,,,
2187,2021-05-03 00:00:00,2021,Maio,3,1561,Consumidor Final,Nordeste,CE,Eletrônicos,Monitor Ultrawide,E-commerce,4,"R$ 658,99",2%,"R$ 2.635,96","R$ 60,55","R$ 2.575,41","R$ 1.526,63","R$ 1.048,79","40,72",,,,,,,
2188,2021-04-26 00:00:00,2021,Abril,26,4733,Pequenas Empresas,Nordeste,CE,Eletrônicos,Teclado Mecânico,E-commerce,3,"R$ 768,59",9%,"R$ 2.305,77","R$ 203,71","R$ 2.102,07","R$ 1.200,70","R$ 901,36","42,88",,,,,,,
2189,2021-07-02 00:00:00,2021,Julho,2,2860,Corporativo,Sudeste,SP,Eletrônicos,Cadeira Gamer,E-commerce,6,"R$ 652,63",11%,"R$ 3.915,79","R$ 440,91","R$ 3.474,88","R$ 2.388,88","R$ 1.085,99","31,25",,,,,,,
